Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Tạo đơn hàng,TEC-9,10178,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:21 PM,17/Mar/26 10:30 PM,17/Mar/26 11:24 PM,17/Mar/26 10:30 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn xác nhận đặt hàng,
Để hoàn tất việc mua sản phẩm.
# *Tiêu chí chấp nhận*

* Người dùng phải đăng nhập
* Kiểm tra tồn kho trước khi tạo đơn
* Tạo Order và OrderItem trong hệ thống
* Thanh toán giả lập (fake payment)
* Trả về thông tin đơn hàng sau khi tạo",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38c2bf4e,,,,,,,,,,,,,,,,,,,,0|i0000q:sai,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1016504461_*|*_10047_*:*_1_*:*_0,10182,TEC-13,Quản lý đơn hàng,Done,17/Mar/26 10:30 PM
Thêm/Sửa/Xóa sản phẩm,TEC-14,10183,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:24 PM,15/Mar/26 9:15 PM,17/Mar/26 11:23 PM,15/Mar/26 9:15 PM,,0,"# *User Story*
Với vai trò là quản trị viên,
Tôi muốn thêm, sửa hoặc xóa sản phẩm,
Để quản lý hàng hóa trong hệ thống.
# *Tiêu chí chấp nhận*

* Có thể thêm sản phẩm mới
* Có thể chỉnh sửa thông tin sản phẩm
* Có thể xóa sản phẩm
* Cập nhật tồn kho chính xác",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5eff05c,,,,,,,,,,,,,,,,,,,,0|i0000q:sf,,,,,,,,,TEC Sprint 1: Core Features,,,10.0,,,,,,,,,,,,,10046_*:*_1_*:*_428744430_*|*_10047_*:*_1_*:*_0,10191,TEC-22,Quản trị hệ thống (Admin),Done,15/Mar/26 9:15 PM
Cập nhật số lượng,TEC-19,10188,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:27 PM,17/Mar/26 11:16 PM,18/Mar/26 9:03 AM,17/Mar/26 9:36 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn thay đổi số lượng sản phẩm trong giỏ,
Để điều chỉnh quyết định mua hàng.
# *Tiêu chí chấp nhận*

* Có thể tăng hoặc giảm số lượng
* Không vượt quá số lượng tồn kho
* Tổng tiền được cập nhật tự động",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67494c3f,,,,,,,,,,,,,,,,,,,,0|i0000q:sg,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1016106060_*|*_10047_*:*_1_*:*_0,10190,TEC-21,Quản lý giỏ hàng,Done,17/Mar/26 9:36 PM
Thêm vào giỏ hàng,TEC-18,10187,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:27 PM,17/Mar/26 11:16 PM,17/Mar/26 11:16 PM,17/Mar/26 9:36 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn thêm sản phẩm vào giỏ hàng,
Để chuẩn bị thanh toán.
# *Tiêu chí chấp nhận*

* Người dùng phải đăng nhập
* Thêm sản phẩm thành công vào giỏ
* Hiển thị số lượng hiện tại trong giỏ",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@557c69a0,,,,,,,,,,,,,,,,,,,,0|i0000q:sgi,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1016109865_*|*_10047_*:*_1_*:*_0,10190,TEC-21,Quản lý giỏ hàng,Done,17/Mar/26 9:36 PM
Xóa sản phẩm khỏi giỏ,TEC-20,10189,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:27 PM,17/Mar/26 11:16 PM,10/Apr/26 8:26 PM,17/Mar/26 9:36 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn xóa sản phẩm khỏi giỏ hàng,
Để linh hoạt thay đổi trước khi thanh toán.
# *Tiêu chí chấp nhận*

* Xóa thành công sản phẩm khỏi giỏ
* Cập nhật lại tổng tiền",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f179df3,,,,,,,,,,,,,,,,,,,,0|i0000q:sh,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1016100095_*|*_10047_*:*_1_*:*_0,10190,TEC-21,Quản lý giỏ hàng,Done,17/Mar/26 9:36 PM
Quản lý danh mục,TEC-15,10184,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:24 PM,09/Mar/26 1:09 PM,09/Mar/26 11:25 AM,09/Mar/26 1:09 PM,,0,"# *User Story*
Với vai trò là quản trị viên,
Tôi muốn quản lý danh mục sản phẩm,
Để tổ chức sản phẩm rõ ràng hơn.
# *Tiêu chí chấp nhận*

* Thêm danh mục mới
* Chỉnh sửa danh mục
* Xóa danh mục không còn sử dụng",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@777890a6,,,,,,,,,,,,,,,,,,,,0|i0000q:si,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_848823226_*|*_10047_*:*_1_*:*_0,10191,TEC-22,Quản trị hệ thống (Admin),Done,09/Mar/26 1:09 PM
Xem danh sách sản phẩm,TEC-5,10174,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:20 PM,11/Mar/26 9:34 AM,15/Mar/26 9:03 PM,11/Mar/26 9:34 AM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn xem danh sách sản phẩm,
Để tôi có thể duyệt và lựa chọn sản phẩm phù hợp
# *Tiêu chí chấp nhận*

* Hiển thị danh sách sản phẩm từ cơ sở dữ liệu
* Có phân trang
* Mỗi sản phẩm hiển thị tên, giá, hình ảnh",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e2d386b,,,,,,,,,,,,,,,,,,,,0|i0000q:sr,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_428939487_*|*_10047_*:*_1_*:*_0,10181,TEC-12,Xem và tìm kiếm sản phẩm,Done,11/Mar/26 9:34 AM
Đăng ký tài khoản,TEC-1,10170,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 2:56 PM,11/Mar/26 2:22 PM,17/Mar/26 11:24 PM,11/Mar/26 2:22 PM,,0,"# *User Story*
Với vai trò là khách truy cập, tôi muốn đăng ký tài khoản, để tôi có thể mua sản phẩm trên hệ thống.
# *Mô tả*
Cho phép người dùng tạo tài khoản mới bằng email và mật khẩu.
# *Tiêu chí chấp nhận*

* Người dùng nhập email, mật khẩu và xác nhận mật khẩu
* Email không được trùng trong hệ thống
* Mật khẩu tối thiểu 6 ký tự
* Mật khẩu được mã hóa trước khi lưu vào cơ sở dữ liệu
* Nếu hợp lệ → trả về thông báo đăng ký thành công
* Nếu email đã tồn tại → hiển thị thông báo lỗi",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@76ac9788,,,,,,,,,,,,,,,,,,,,0|i0000q:sv,,,,,,,,,TEC Sprint 1: Core Features,,,3.0,,,,,,,,,,,,,10046_*:*_3_*:*_430374690_*|*_10047_*:*_3_*:*_7195,10171,TEC-2,Quản lý tài khoản người dùng,Done,11/Mar/26 2:22 PM
Đăng nhập,TEC-3,10172,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:06 PM,11/Mar/26 2:22 PM,04/Mar/26 5:12 PM,11/Mar/26 2:22 PM,,0,"# *User Story*
Với vai trò là khách hàng đã đăng ký,
Tôi muốn đăng nhập vào hệ thống,
Để tôi có thể truy cập giỏ hàng, lịch sử đơn và trạng thái đơn.
# *Mô tả*
Cho phép người dùng xác thực bằng email và mật khẩu.
# *Tiêu chí chấp nhận*

* Nhập email và mật khẩu
* Kiểm tra thông tin chính xác
* Nếu đúng → trả về phiên đăng nhập
* Nếu sai → hiển thị thông báo lỗi",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3352bb2c,,,,,,,,,,,,,,,,,,,,0|i0000q:sx,,,,,,,,,TEC Sprint 1: Core Features,,,3.0,,,,,,,,,,,,,10046_*:*_1_*:*_429820581_*|*_10047_*:*_1_*:*_0,10171,TEC-2,Quản lý tài khoản người dùng,Done,11/Mar/26 2:22 PM
Xem chi tiết sản phẩm,TEC-8,10177,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:21 PM,15/Mar/26 3:48 PM,15/Mar/26 9:03 PM,15/Mar/26 3:48 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn xem chi tiết sản phẩm,
Để có đủ thông tin trước khi quyết định mua.
# *Tiêu chí chấp nhận*

* Hiển thị mô tả sản phẩm
* Hiển thị giá
* Hiển thị ảnh sản phẩm",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@421a1224,,,,,,,,,,,,,,,,,,,,0|i0000q:sy,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_2_*:*_1016500131_*|*_10047_*:*_2_*:*_4102,10181,TEC-12,Xem và tìm kiếm sản phẩm,Done,15/Mar/26 3:48 PM
